id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
422,Automatic Feeders,32,34,208,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders']",[423],0,[]
423,"Hay, ,",0,2,422,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,']",[424],0,[]
424,Made in the USA or Imported,0,2,423,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported']",[425],0,[]
425,"7.25"" high",0,2,424,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported', '7.25"" high']",[426],0,[]
426,"8"" wide",0,2,425,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported', '7.25"" high', '8"" wide']",[427],0,[]
427,Easily attaches to any wire cage,0,2,426,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported', '7.25"" high', '8"" wide', 'Easily attaches to any wire cage']",[428],0,[]
428,Designed to keep hay in manger and off cage floor,0,2,427,1,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported', '7.25"" high', '8"" wide', 'Easily attaches to any wire cage', 'Designed to keep hay in manger and off cage floor']",[429],0,[]
429,Includes built-in salt spool holder,2,2,428,0,"['Pet Supplies', 'Small Animals', 'Feeding & Watering Supplies', 'Automatic Feeders', 'Hay, ,', 'Made in the USA or Imported', '7.25"" high', '8"" wide', 'Easily attaches to any wire cage', 'Designed to keep hay in manger and off cage floor', 'Includes built-in salt spool holder']",[],0,[]
430,Aquarium Stands,56,56,10,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Stands']",[],0,[]
431,No Fabric,0,2,317,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric']",[432],0,[]
432,Made in USA or Imported,0,2,431,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported']",[433],0,[]
433,"2.7"" high",0,2,432,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported', '2.7"" high']",[434],0,[]
434,"3.5"" wide",0,2,433,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported', '2.7"" high', '3.5"" wide']",[435],0,[]
435,Potty train your small animal,0,2,434,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported', '2.7"" high', '3.5"" wide', 'Potty train your small animal']",[436],0,[]
436,Includes free sample of potty litter and a sifting scoop,0,2,435,1,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported', '2.7"" high', '3.5"" wide', 'Potty train your small animal', 'Includes free sample of potty litter and a sifting scoop']",[437],0,[]
437,Can be placed anywhere inside of any hamster or gerbil home,2,2,436,0,"['Pet Supplies', 'Small Animals', 'Toys', 'No Fabric', 'Made in USA or Imported', '2.7"" high', '3.5"" wide', 'Potty train your small animal', 'Includes free sample of potty litter and a sifting scoop', 'Can be placed anywhere inside of any hamster or gerbil home']",[],0,[]
438,"Plastic, ,",0,2,149,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,']",[439],0,[]
439,Made in US,0,2,438,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US']",[440],0,[]
440,"10.12"" high",0,2,439,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US', '10.12"" high']",[441],0,[]
441,"13.75"" wide",0,2,440,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US', '10.12"" high', '13.75"" wide']",[442],0,[]
442,Potty training made easy,0,2,441,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US', '10.12"" high', '13.75"" wide', 'Potty training made easy']",[443],0,[]
443,Designed to prevent messes,0,2,442,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US', '10.12"" high', '13.75"" wide', 'Potty training made easy', 'Designed to prevent messes']",[444],0,[]
444,Attaches directly to any wire cage,2,2,443,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes', 'Plastic, ,', 'Made in US', '10.12"" high', '13.75"" wide', 'Potty training made easy', 'Designed to prevent messes', 'Attaches directly to any wire cage']",[],0,[]
445,"Fleece, ,",0,2,317,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,']",[446],0,[]
446,"9.75"" high",0,2,445,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high']",[447],0,[]
447,"9"" wide",0,2,446,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide']",[448],0,[]
448,Create the ultimate play system to provide many hours of stimulation and fun for pets,0,2,447,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide', 'Create the ultimate play system to provide many hours of stimulation and fun for pets']",[449],0,[]
449,Includes 1-straight tube and 1-elbow tube fun-nels that provide a network of hiding places and tunnels to explore,0,2,448,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide', 'Create the ultimate play system to provide many hours of stimulation and fun for pets', 'Includes 1-straight tube and 1-elbow tube fun-nels that provide a network of hiding places and tunnels to explore']",[450],0,[]
450,Encourages healthy play and exercise,0,2,449,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide', 'Create the ultimate play system to provide many hours of stimulation and fun for pets', 'Includes 1-straight tube and 1-elbow tube fun-nels that provide a network of hiding places and tunnels to explore', 'Encourages healthy play and exercise']",[451],0,[]
451,"For ferrets, guinea pigs, pet rats, chinchillas, and other small animals",0,2,450,1,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide', 'Create the ultimate play system to provide many hours of stimulation and fun for pets', 'Includes 1-straight tube and 1-elbow tube fun-nels that provide a network of hiding places and tunnels to explore', 'Encourages healthy play and exercise', 'For ferrets, guinea pigs, pet rats, chinchillas, and other small animals']",[452],0,[]
452,opaque design lets you see your ferret in action,2,2,451,0,"['Pet Supplies', 'Small Animals', 'Toys', 'Fleece, ,', '9.75"" high', '9"" wide', 'Create the ultimate play system to provide many hours of stimulation and fun for pets', 'Includes 1-straight tube and 1-elbow tube fun-nels that provide a network of hiding places and tunnels to explore', 'Encourages healthy play and exercise', 'For ferrets, guinea pigs, pet rats, chinchillas, and other small animals', 'opaque design lets you see your ferret in action']",[],0,[]
453,"Mixed, ,",0,3,241,2,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,']","[454, 878]",0,[]
454,"3"" high",0,2,453,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high']",[455],0,[]
455,"7"" wide",0,2,454,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide']",[456],0,[]
456,Allows for expansion of CritterTrail habitats,0,2,455,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide', 'Allows for expansion of CritterTrail habitats']",[457],0,[]
457,"Includes: 1 - 1.75"" Tube, 1 - 3.5"" Tube, 1 - Tee Tube, 3 - Elbow tubes, 1 - 10"" Tube, 8 - Connector Rings",0,2,456,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide', 'Allows for expansion of CritterTrail habitats', 'Includes: 1 - 1.75"" Tube, 1 - 3.5"" Tube, 1 - Tee Tube, 3 - Elbow tubes, 1 - 10"" Tube, 8 - Connector Rings']",[458],0,[]
458,Universally connectable,0,2,457,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide', 'Allows for expansion of CritterTrail habitats', 'Includes: 1 - 1.75"" Tube, 1 - 3.5"" Tube, 1 - Tee Tube, 3 - Elbow tubes, 1 - 10"" Tube, 8 - Connector Rings', 'Universally connectable']",[459],0,[]
459,"2.25"" diameter and a variety of shapes and lengths",0,2,458,1,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide', 'Allows for expansion of CritterTrail habitats', 'Includes: 1 - 1.75"" Tube, 1 - 3.5"" Tube, 1 - Tee Tube, 3 - Elbow tubes, 1 - 10"" Tube, 8 - Connector Rings', 'Universally connectable', '2.25"" diameter and a variety of shapes and lengths']",[460],0,[]
460,"For hamsters, gerbils, or mice",2,2,459,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Tubes & Tunnels', 'Mixed, ,', '3"" high', '7"" wide', 'Allows for expansion of CritterTrail habitats', 'Includes: 1 - 1.75"" Tube, 1 - 3.5"" Tube, 1 - Tee Tube, 3 - Elbow tubes, 1 - 10"" Tube, 8 - Connector Rings', 'Universally connectable', '2.25"" diameter and a variety of shapes and lengths', 'For hamsters, gerbils, or mice']",[],0,[]
461,Leashes,40,40,54,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Leashes']",[],0,[]
462,Small Animal Living World,9,9,282,0,"['Pet Supplies', 'Hagen', 'Small Animal Living World']",[],0,[]
463,Scratcher Accessories & Parts,12,12,154,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Scratcher Accessories & Parts']",[],0,[]
464,Rolls,89,89,158,0,"['Pet Supplies', 'Dogs', 'Treats', 'Rawhide', 'Rolls']",[],0,[]
465,Probiotics,30,30,21,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Probiotics']",[],0,[]
466,Milk Replacers,24,24,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Milk Replacers']",[],0,[]
467,Nursing Supplies,33,33,30,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Nursing Supplies']",[],0,[]
468,Location & Activity Trackers,29,29,12,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Location & Activity Trackers']",[],0,[]
469,Boots & Paw Protectors,19,477,23,2,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Boots & Paw Protectors']","[470, 506]",0,[]
470,Boots,319,319,469,0,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Boots & Paw Protectors', 'Boots']",[],0,[]
471,Bird Food,10,10,282,0,"['Pet Supplies', 'Hagen', 'Bird Food']",[],0,[]
472,Mice & Rats,6,6,288,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Mice & Rats']",[],0,[]
473,Pinch Collars,62,62,37,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Collars', 'Pinch Collars']",[],0,[]
474,Hair Accessories,129,129,23,0,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Hair Accessories']",[],0,[]
475,Tropican,8,8,282,0,"['Pet Supplies', 'Hagen', 'Tropican']",[],0,[]
476,Carriers,16,16,63,0,"['Pet Supplies', 'Birds', 'Carriers']",[],0,[]
477,Living World,11,11,282,0,"['Pet Supplies', 'Hagen', 'Living World']",[],0,[]
478,Sweaters,917,942,23,3,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Sweaters']","[1130, 1344, 1352]",0,[]
479,Potty Pads,7,7,251,0,"['Pet Supplies', 'Pet Behavior Center', 'Potty Training', 'Potty Pads']",[],0,[]
480,Replacement Pans,13,13,61,0,"['Pet Supplies', 'Dogs', 'Crates, Houses & Pens', 'Replacement Pans']",[],0,[]
481,Shampoos Plus Conditioners,52,52,33,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Shampoos & Conditioners', 'Shampoos Plus Conditioners']",[],0,[]
482,Hooves,25,25,26,0,"['Pet Supplies', 'Dogs', 'Treats', 'Hooves']",[],0,[]
483,Pouches,40,40,156,0,"['Pet Supplies', 'Cats', 'Food', 'Wet', 'Pouches']",[],0,[]
484,Food,10,10,197,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Food']",[],0,[]
485,Activity Trees,349,349,217,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Cat Trees & Condos', 'Activity Trees']",[],0,[]
486,Electric Clippers,193,193,379,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Electric Clippers & Blades', 'Electric Clippers']",[],0,[]
487,Household Sprays,4,4,330,0,"['Pet Supplies', 'Flea & Tick Center', 'Household Sprays']",[],0,[]
488,Relaxants,62,62,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Relaxants']",[],0,[]
489,Hard-Sided Carriers,18,18,233,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Carriers', 'Hard-Sided Carriers']",[],0,[]
490,Double Leashes,68,68,39,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Double Leashes']",[],0,[]
491,Terrariums,28,28,263,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrariums']",[],0,[]
492,Apparel,44,45,8,1,"['Pet Supplies', 'Cats', 'Apparel']",[1347],0,[]
493,Accessories,176,176,55,0,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Collars', 'Accessories']",[],0,[]
494,Terrarium Hygrometers,4,4,263,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Hygrometers']",[],0,[]
495,Chewing & Anxiety Solutions,2,2,223,0,"['Pet Supplies', 'Pet Behavior Center', 'Pet Proofing', 'Chewing & Anxiety Solutions']",[],0,[]
496,Shirts,1059,1072,23,8,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Shirts']","[726, 758, 831, 1136, 1165, 1213, 1328, 1357]",0,[]
497,Raincoats,195,195,23,0,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Raincoats']",[],0,[]
498,Dresses,1009,1013,23,3,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Dresses']","[526, 997, 1311]",0,[]
499,Flea Combs,19,19,124,0,"['Pet Supplies', 'Cats', 'Flea & Tick Control', 'Flea Combs']",[],0,[]
500,Fish & Exotics,9,9,288,0,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee', 'Food', 'Fish & Exotics']",[],0,[]
501,TropiMix,6,6,282,0,"['Pet Supplies', 'Hagen', 'TropiMix']",[],0,[]
502,Feeding & Watering Supplies,6,6,197,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Feeding & Watering Supplies']",[],0,[]
503,Hats,88,88,23,0,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Hats']",[],0,[]
504,Water Bottles,20,20,99,0,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies', 'Water Bottles']",[],0,[]
505,Cameras & Monitors,3,3,2,0,"['Pet Supplies', 'Dogs', 'Cameras & Monitors']",[],0,[]
506,Paw Protectors,138,139,469,1,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Boots & Paw Protectors', 'Paw Protectors']",[681],0,[]
507,Bed Mats,155,155,70,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Bed Mats']",[],0,[]
508,Feeding Mats,28,28,25,0,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Feeding Mats']",[],0,[]
509,Shower & Bath Accessories,163,163,32,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Shower & Bath Accessories']",[],0,[]
510,"Collars, Harnesses & Leashes",2,2,197,0,"['Pet Supplies', 'Bunny Rabbit Central', 'Collars, Harnesses & Leashes']",[],0,[]
511,Itch Remedies,40,40,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Itch Remedies']",[],0,[]
512,for pets up to 8lbs,0,2,83,1,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'for pets up to 8lbs']",[513],0,[]
513,"for pets up to 13"" in length and 7.5"" height please mesure your pet weight is only a secondary measurement",0,2,512,1,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'for pets up to 8lbs', 'for pets up to 13"" in length and 7.5"" height please mesure your pet weight is only a secondary measurement']",[514],0,[]
514,pewter hardware,0,2,513,1,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'for pets up to 8lbs', 'for pets up to 13"" in length and 7.5"" height please mesure your pet weight is only a secondary measurement', 'pewter hardware']",[515],0,[]
515,new 2010 design just like photo shown,2,2,514,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'for pets up to 8lbs', 'for pets up to 13"" in length and 7.5"" height please mesure your pet weight is only a secondary measurement', 'pewter hardware', 'new 2010 design just like photo shown']",[],0,[]
516,Purses,40,40,83,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Purses']",[],0,[]
517,Cat Flea Powders,8,8,124,0,"['Pet Supplies', 'Cats', 'Flea & Tick Control', 'Cat Flea Powders']",[],0,[]
518,Window Perches,40,40,154,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Window Perches']",[],0,[]
519,Bandanas,222,227,23,3,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Bandanas']","[694, 788, 993]",0,[]
520,Outdoor Pens,13,13,247,0,"['Pet Supplies', 'Cats', 'Cat Doors, Steps, Nets & Pens', 'Outdoor Pens']",[],0,[]
521,Amino Acids,5,5,18,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins', 'Amino Acids']",[],0,[]
522,Hip & Joint Care,49,49,182,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Hip & Joint Care']",[],0,[]
523,Deodorizers,5,5,407,0,"['Pet Supplies', 'Small Animals', 'Grooming', 'Deodorizers']",[],0,[]
524,Training Clickers,39,40,43,1,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Training Clickers']",[1202],0,[]
525,Hoodies,569,605,23,3,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Hoodies']","[1118, 1200, 1294]",0,[]
526,"Clown Dog Pet Costume. The costume includes the clown suit with hat. The costume is size XS 9-13"" neck to tail. New in the package.",2,2,498,0,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Dresses', 'Clown Dog Pet Costume. The costume includes the clown suit with hat. The costume is size XS 9-13"" neck to tail. New in the package.']",[],0,[]
527,Tick Remover Tools,9,9,124,0,"['Pet Supplies', 'Cats', 'Flea & Tick Control', 'Tick Remover Tools']",[],0,[]
528,Thermometers,10,10,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Thermometers']",[],0,[]
529,Hard-Sided Carriers,16,16,231,0,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Carriers', 'Hard-Sided Carriers']",[],0,[]
530,Feeding & Watering Equipment,30,240,94,2,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Feeding & Watering Equipment']","[531, 561]",0,[]
531,Feeding Supplies,204,204,530,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Feeding & Watering Equipment', 'Feeding Supplies']",[],0,[]
532,Bed Pillows,45,45,70,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Bed Pillows']",[],0,[]
533,Vehicle Harnesses,74,74,67,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Harnesses', 'Vehicle Harnesses']",[],0,[]
534,Heat Mats,33,33,265,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Terrarium Heat Lamps & Mats', 'Heat Mats']",[],0,[]
535,Digestive Aids,56,56,182,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Digestive Aids']",[],0,[]
536,Vitamins & Supplements,10,127,182,5,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements']","[537, 593, 606, 607, 652]",0,[]
537,"Skin, Coat & Hoof Supplements",54,54,536,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Vitamins & Supplements', 'Skin, Coat & Hoof Supplements']",[],0,[]
538,Stairs,24,24,138,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Stairs & Steps', 'Stairs']",[],0,[]
539,Carpet Flea Powders & Sprays,12,12,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Carpet Flea Powders & Sprays']",[],0,[]
540,Disposable Litter Boxes,3,3,105,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Disposable Litter Boxes']",[],0,[]
541,Brushes,8,8,407,0,"['Pet Supplies', 'Small Animals', 'Grooming', 'Brushes']",[],0,[]
542,Bicycle Carriers,13,13,83,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Bicycle Carriers']",[],0,[]
543,Dog Flea Powders,14,14,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Dog Flea Powders']",[],0,[]
544,Wormers,11,11,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Wormers']",[],0,[]
545,Styptic Gels & Powders,5,5,9,0,"['Pet Supplies', 'Cats', 'Grooming', 'Styptic Gels & Powders']",[],0,[]
546,Travel Bowls,123,123,202,0,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Bowls & Dishes', 'Travel Bowls']",[],0,[]
547,Carpet Flea Powders & Sprays,9,9,124,0,"['Pet Supplies', 'Cats', 'Flea & Tick Control', 'Carpet Flea Powders & Sprays']",[],0,[]
548,Treats,45,45,87,0,"['Pet Supplies', 'Horses', 'Treats']",[],0,[]
549,Sonic Repellents,5,5,97,0,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Repellents', 'Sonic Repellents']",[],0,[]
550,Toys,0,14,87,2,"['Pet Supplies', 'Horses', 'Toys']","[551, 618]",0,[]
551,Chew Toys,7,7,550,0,"['Pet Supplies', 'Horses', 'Toys', 'Chew Toys']",[],0,[]
552,Stall & Muck Supplies,22,22,94,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Stall & Muck Supplies']",[],0,[]
553,Rocks,15,15,304,0,"['Pet Supplies', 'Reptiles & Amphibians', 'Habitat Dcor', 'Rocks']",[],0,[]
554,"Mixed, ,",0,2,188,2,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,']","[555, 653]",0,[]
555,"3"" high",0,1,554,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high']",[556],0,[]
556,"4"" wide",0,1,555,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high', '4"" wide']",[557],0,[]
557,"This item is a Oster Equine Care Series Curry Comb, Fine, Blue",0,1,556,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high', '4"" wide', 'This item is a Oster Equine Care Series Curry Comb, Fine, Blue']",[558],0,[]
558,"Purpose of use for Farming, Horse Care Equipment",0,1,557,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high', '4"" wide', 'This item is a Oster Equine Care Series Curry Comb, Fine, Blue', 'Purpose of use for Farming, Horse Care Equipment']",[559],0,[]
559,This product is manufactured in China,0,1,558,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high', '4"" wide', 'This item is a Oster Equine Care Series Curry Comb, Fine, Blue', 'Purpose of use for Farming, Horse Care Equipment', 'This product is manufactured in China']",[560],0,[]
560,Rubber control-touch handle for added comfort and better grip,1,1,559,0,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs', 'Mixed, ,', '3"" high', '4"" wide', 'This item is a Oster Equine Care Series Curry Comb, Fine, Blue', 'Purpose of use for Farming, Horse Care Equipment', 'This product is manufactured in China', 'Rubber control-touch handle for added comfort and better grip']",[],0,[]
561,Watering Supplies,6,6,530,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Feeding & Watering Equipment', 'Watering Supplies']",[],0,[]
562,Recovery Collars & Cones,3,3,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Recovery Collars & Cones']",[],0,[]
563,Cat Food & Supplies,2,2,1,0,"['Pet Supplies', 'Cat Food & Supplies']",[],0,[]
564,Aquatics Node,3,3,1,0,"['Pet Supplies', 'Aquatics Node']",[],0,[]
565,Cat Holiday Gift Guide,22,22,1,0,"['Pet Supplies', 'Cat Holiday Gift Guide']",[],0,[]
566,Outdoor Pens & Hutches,26,26,237,0,"['Pet Supplies', 'Small Animals', 'Houses & Habitats', 'Outdoor Pens & Hutches']",[],0,[]
567,"Mixed, ,",0,1,406,1,"['Pet Supplies', 'Small Animals', 'Health Supplies', 'Mixed, ,']",[568],0,[]
568,Made in US,0,1,567,1,"['Pet Supplies', 'Small Animals', 'Health Supplies', 'Mixed, ,', 'Made in US']",[569],0,[]
569,Designed for use with our Small Critter Ceramic Bath House,0,1,568,1,"['Pet Supplies', 'Small Animals', 'Health Supplies', 'Mixed, ,', 'Made in US', 'Designed for use with our Small Critter Ceramic Bath House']",[570],0,[]
570,14-Ounce,0,1,569,1,"['Pet Supplies', 'Small Animals', 'Health Supplies', 'Mixed, ,', 'Made in US', 'Designed for use with our Small Critter Ceramic Bath House', '14-Ounce']",[571],0,[]
571,"For dwarf hamsters, gerbils and chinchillas",1,1,570,0,"['Pet Supplies', 'Small Animals', 'Health Supplies', 'Mixed, ,', 'Made in US', 'Designed for use with our Small Critter Ceramic Bath House', '14-Ounce', 'For dwarf hamsters, gerbils and chinchillas']",[],0,[]
572,Litter Boxes,11,11,118,0,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking', 'Litter Boxes']",[],0,[]
573,Green,13,13,1,0,"['Pet Supplies', 'Green']",[],0,[]
574,Bed Liners,16,16,70,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Bed Liners']",[],0,[]
575,Strollers,140,140,83,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Strollers']",[],0,[]
576,Litter Box Enclosures,27,27,104,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Box Enclosures']",[],0,[]
577,Shampoos Plus Conditioners,6,6,239,0,"['Pet Supplies', 'Cats', 'Grooming', 'Shampoos & Conditioners', 'Shampoos Plus Conditioners']",[],0,[]
578,Strollers,25,25,230,0,"['Pet Supplies', 'Cats', 'Carriers & Strollers', 'Strollers']",[],0,[]
579,Stairs & Steps,3,38,247,2,"['Pet Supplies', 'Cats', 'Cat Doors, Steps, Nets & Pens', 'Stairs & Steps']","[580, 626]",0,[]
580,Steps,23,23,579,0,"['Pet Supplies', 'Cats', 'Cat Doors, Steps, Nets & Pens', 'Stairs & Steps', 'Steps']",[],0,[]
581,Sheets,131,133,318,1,"['Pet Supplies', 'Horses', 'Blankets & Sheets', 'Sheets']",[1182],0,[]
582,Masks,68,68,88,0,"['Pet Supplies', 'Horses', 'Pest Control', 'Masks']",[],0,[]
583,Barking Control,11,18,192,3,"['Pet Supplies', 'Pet Behavior Center', 'Barking Control']","[584, 620, 1208]",0,[]
